STRIKER,Batting Postion
A Badoni,6
A Balbirnie,2
A Bhargava,11
A Bohara,11
A Chaudhary,8
A Dananjaya,9
A Dutt,6
A Ferguson,3
A Gbla,6
A Gorawara,7
A Johnson,1
A Kainessie,3
A Kansonkho,8
A Kaul,2
A Kirschbaum,4
A Krishna,8
A Manohar,6
A Mansale,3
A Mishra,8
A Mutreja,4
A Nao,10
A Ndlovu,10
A Nortje,10
A Otwani,2
A Patmore,4
A Randhawa,4
A Saud,2
A Sharafu,5
A Sharma,2
A Shreshta,2
A Shukla,10
A Tomar,3
A Turay,2
A Vala,2
A Valthapa,5
A Zampa,9
AA Banner,3
AA Hussein,11
AA Jasani,3
AA Navicha,7
AA Obanda,3
AA Onikoyi,3
AAA Patel,7
Aakash Chand,10
Aamer Jamal,8
Aamir Kaleem,5
AAP Atkinson,10
Aarif Sheikh,5
Aaron Jones,4
Aasif Sheikh,2
Aayan Afzal Khan,8
AB de Villiers,4
AB Kamara,7
Abbas Afridi,9
Abdul Basith,8
Abdul Hashim,6
Abdul Majid Abbasi,10
Abdul Samad,6
Abdul Waheed,2
Abdullah Akbarjan,8
Abdullah Shafique,3
Abhishek Sharma,3
Abishek Porel,7
AC Agar,6
AC Douglas,5
AC Evans,10
AD Hales,2
AD Mathews,5
AD Russell,6
Adil Butt,3
Adnan Idrees,2
Adnan Mirza,2
ADS Fletcher,2
AE Isesele,4
AE Paraam,5
AF Milne,8
Afif Hossain,5
Afsar Zazai,4
Aftab Hussain,10
Ahmed Aqeel,5
Ahmed Faiz,4
Ahmed Faiz Mohammad Noor,4
Ahmed Raza,9
Ahmer Bin Nisar,5
Ainool Hafizs,7
Aizaz Khan,5
AJ Ayannaike,3
AJ Finch,2
AJ Hosein,8
AJ Jabiri,3
AJ Mosca,4
AJ Staal,6
AJ Turner,5
AJ Tye,9
AK Markram,3
AK Muslar,3
AK Sah,1
Akash Deep,10
Akbar Khan,5
Akhil Anil,6
Akif Raja,9
AL Kerai,4
AL Phehlukwayo,7
AL Stephen,8
Ali Dawood,10
Ali Khan,11
Ali Naseer,6
Ali Zaheer,5
AM Fernando,10
AM Hardie,5
AM Kimote,8
AM Rahane,2
AM Tribe,4
Aman Desai,3
Aman Hakim Khan,7
Ameer Saiyed,2
Aminuddin Ramly,6
Aminul Islam,8
Amjad Mahboob,9
Ammar Zuhdi Hazalan,8
Amoluk Singh,2
AN Aminou,9
AN Toube,6
Anamul Haque,2
Anmolpreet Singh,1
Ansh Tandon,5
Anshuman Rath,3
Anuj Rawat,4
Anwar Arudin,2
Anwar Rahman,10
AP Rajeevan,4
Aqib Ilyas,3
AR Balla,8
AR McBrine,8
AR Patel,7
AR Patwa,1
AR Puri,10
AR Ramjani,5
Arafat Minhas,8
Aritra Dutta,2
Arjun Tendulkar,9
Arshad Iqbal,11
Arshad Khan,8
Arshdeep Singh,10
Aryan Lakra,3
AS Joseph,10
AS Rajpoot,11
AS Roy,7
AS Samra,2
Asghar Stanikzai,4
Asif Ali,6
Asif Khan,4
Aslam Khan,7
AT Carey,2
AT Chuvale,10
AT Nidamanuru,6
AT Rayudu,4
Atharva Taide,2
Atif-Ur-Rehman,10
AU Rashid,9
Avesh Khan,10
Avi Dixit,6
AY Patel,9
Ayan Khan,5
Azam Khan,6
Aziz Sualley,11
Azmatullah Omarzai,6
B Bhandari,5
B Evans,8
B Fernando,10
B Indrajith,2
B Kgosiemang,10
B Khumalo,11
B Kumar,9
B Maphosa,8
B Masaba,6
B Mavuta,9
B Muzarabani,11
B Namsrai,7
B Sai Sudharsan,3
B Terbish,2
B Ward,6
B White,11
B Yadav,7
BA Carse,9
BA King,1
BA Simango,10
BA Stokes,4
Babar Ali,3
Babar Azam,2
Babar Hayat,3
BAD Manenti,6
Basil Hameed,5
BC Fortuin,8
BD Glover,10
BDH Stevens,3
BE Hendricks,9
BFW de Leede,4
BG Lister,11
Bhumeshswar Jagroo,9
Bilal Hassun,9
Bilal Khan,11
Bilal Tahir,6
BJ Bennett,4
BJ Currie,10
BJ Dwarshuis,8
BJ McCarthy,9
BJ McMullen,3
BKG Mendis,3
BM Duckett,3
BM Scholtz,10
BM Tickner,10
BN Cooper,3
BN Toube,2
BOP Fernando,4
Bosco Tuyizere,4
BR McDermott,3
BRM Taylor,3
BS Stephenson,6
BTJ Wheal,11
Bukhar Illikkal,9
BV Sears,11
C Bah,9
C Brennan,4
C Brown,4
C Campher,5
C Chete,7
C de Grandhomme,5
C Floyd,9
C Forbes,2
C Green,4
C Karunaratne,8
C Kyewuta,8
C Madande,7
C Rububagumya,5
C Sakariya,10
C Smith,5
C Tear,4
C Tlali,2
C Tommy,4
C Udekwe,8
CA Lynn,3
CA Soper,8
CA Young,10
CAH Stevenson,9
CAK Rajitha,10
CB Ondoa,8
CB Sole,10
CBRLS Kumara,10
CD Wallace,6
CE McConchie,7
CG Williams,3
CH Gayle,2
CH Morris,7
Chirag Suri,2
CJ Bowes,2
