Ground
"Arun Jaitley Stadium, Delhi"
"Barabati Stadium, Cuttack"
"Barsapara Cricket Stadium, Guwahati"
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
"Brabourne Stadium, Mumbai"
"Dr DY Patil Sports Academy, Mumbai"
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam"
"Eden Gardens, Kolkata"
"Greenfield International Stadium, Thiruvananthapuram"
"Himachal Pradesh Cricket Association Stadium, Dharamsala"
"Holkar Cricket Stadium, Indore"
"JSCA International Stadium Complex, Ranchi"
"M Chinnaswamy Stadium, Bengaluru"
"MA Chidambaram Stadium, Chepauk, Chennai"
"Maharashtra Cricket Association Stadium, Pune"
Narendra Modi Stadium
"Narendra Modi Stadium, Ahmedabad"
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
"Saurashtra Cricket Association Stadium, Rajkot"
"Sawai Mansingh Stadium, Jaipur"
"Shaheed Veer Narayan Singh International Stadium, Raipur"
"Vidarbha Cricket Association Stadium, Jamtha, Nagpur"
"Wankhede Stadium, Mumbai"
