Group,Team 1,Team 2
Overlap2,CSK,MI
B,CSK,SH
B,CSK,RCB
B,CSK,PBKS
B,CSK,GT
Overlap,CSK,DC
Overlap,CSK,KKR
Overlap,CSK,LSG
Overlap,CSK,RR
Overlap2,DC,PBKS
A,DC,LSG
A,DC,MI
A,DC,KKR
A,DC,RR
Overlap2,GT,LSG
B,GT,CSK
B,GT,SH
B,GT,RCB
B,GT,PBKS
Overlap,GT,DC
Overlap,GT,KKR
Overlap,GT,MI
Overlap,GT,RR
Overlap2,KKR,SH
A,KKR,RR
A,KKR,DC
A,KKR,LSG
A,KKR,MI
Overlap2,LSG,GT
A,LSG,MI
A,LSG,KKR
A,LSG,RR
A,LSG,DC
Overlap2,MI,CSK
A,MI,KKR
A,MI,RR
A,MI,DC
A,MI,LSG
Overlap2,PBKS,DC
B,PBKS,GT
B,PBKS,CSK
B,PBKS,SH
B,PBKS,RCB
Overlap,PBKS,KKR
Overlap,PBKS,LSG
Overlap,PBKS,MI
Overlap,PBKS,RR
Overlap2,RCB,RR
B,RCB,PBKS
B,RCB,GT
B,RCB,CSK
B,RCB,SH
Overlap,RCB,DC
Overlap,RCB,KKR
Overlap,RCB,LSG
Overlap,RCB,MI
Overlap2,RR,RCB
A,RR,DC
A,RR,LSG
A,RR,MI
A,RR,KKR
Overlap2,SH,KKR
B,SH,RCB
B,SH,PBKS
B,SH,GT
B,SH,CSK
Overlap,SH,DC
Overlap,SH,LSG
Overlap,SH,MI
Overlap,SH,RR
