match_id,Team 1,Team 2,Winner,Loser,Win Type,Event
1233971,Australia,New Zealand,New Zealand,Australia,Defend,T20
1233972,Australia,New Zealand,New Zealand,Australia,Defend,T20
1233973,Australia,New Zealand,Australia,New Zealand,Defend,T20
1233974,Australia,New Zealand,Australia,New Zealand,Defend,T20
1233975,Australia,New Zealand,New Zealand,Australia,Chase,T20
1233979,Bangladesh,New Zealand,New Zealand,Bangladesh,Defend,T20
1233980,Bangladesh,New Zealand,New Zealand,Bangladesh,Defend,T20
1233981,Bangladesh,New Zealand,New Zealand,Bangladesh,Defend,T20
1239540,England,Pakistan,Pakistan,England,Defend,T20
1239541,England,Pakistan,England,Pakistan,Defend,T20
1239542,England,Pakistan,England,Pakistan,Chase,T20
1243019,Pakistan,South Africa,Pakistan,South Africa,Defend,T20
1243020,Pakistan,South Africa,South Africa,Pakistan,Chase,T20
1243021,Pakistan,South Africa,Pakistan,South Africa,Chase,T20
1243388,England,India,England,India,Chase,T20
1243389,England,India,India,England,Chase,T20
1243390,England,India,England,India,Chase,T20
1243391,England,India,India,England,Defend,T20
1243392,England,India,India,England,Defend,T20
1249206,England,Sri Lanka,England,Sri Lanka,Chase,T20
1249207,England,Sri Lanka,Sri Lanka,England,Defend,T20
1249208,England,Sri Lanka,England,Sri Lanka,Defend,T20
1251575,Pakistan,South Africa,Pakistan,South Africa,Chase,T20
1251576,Pakistan,South Africa,South Africa,Pakistan,Chase,T20
1251577,Pakistan,South Africa,Pakistan,South Africa,Chase,T20
1251578,Pakistan,South Africa,Pakistan,South Africa,Chase,T20
1251953,Ireland,South Africa,South Africa,Ireland,Defend,T20
1251954,Ireland,South Africa,South Africa,Ireland,Defend,T20
1251955,Ireland,South Africa,South Africa,Ireland,Defend,T20
1252058,Afghanistan,Zimbabwe,Afghanistan,Zimbabwe,Defend,T20
1252059,Afghanistan,Zimbabwe,Afghanistan,Zimbabwe,Defend,T20
1252060,Afghanistan,Zimbabwe,Afghanistan,Zimbabwe,Defend,T20
1252066,Sri Lanka,West Indies,West Indies,Sri Lanka,Chase,T20
1252067,Sri Lanka,West Indies,Sri Lanka,West Indies,Defend,T20
1252068,Sri Lanka,West Indies,West Indies,Sri Lanka,Chase,T20
1254058,MI,RCB,RCB,MI,Chase,IPL
1254059,CSK,DC,DC,CSK,Chase,IPL
1254060,KKR,SRH,KKR,SRH,Defend,IPL
1254061,PBKS,RR,PBKS,RR,Defend,IPL
1254062,KKR,MI,MI,KKR,Defend,IPL
1254063,RCB,SRH,RCB,SRH,Defend,IPL
1254064,DC,RR,RR,DC,Chase,IPL
1254065,CSK,PBKS,CSK,PBKS,Chase,IPL
1254066,MI,SRH,MI,SRH,Defend,IPL
1254067,KKR,RCB,RCB,KKR,Defend,IPL
1254068,DC,PBKS,DC,PBKS,Chase,IPL
1254069,CSK,RR,CSK,RR,Defend,IPL
1254070,DC,MI,DC,MI,Chase,IPL
1254071,PBKS,SRH,SRH,PBKS,Chase,IPL
1254072,CSK,KKR,CSK,KKR,Defend,IPL
1254073,RCB,RR,RCB,RR,Chase,IPL
1254074,MI,PBKS,PBKS,MI,Chase,IPL
1254075,KKR,RR,RR,KKR,Chase,IPL
1254076,CSK,RCB,CSK,RCB,Defend,IPL
1254077,DC,SRH,DC,SRH,Defend,IPL
1254078,KKR,PBKS,KKR,PBKS,Chase,IPL
1254079,DC,RCB,RCB,DC,Defend,IPL
1254080,CSK,SRH,CSK,SRH,Chase,IPL
1254081,MI,RR,MI,RR,Chase,IPL
1254082,DC,KKR,DC,KKR,Chase,IPL
1254083,PBKS,RCB,PBKS,RCB,Defend,IPL
1254084,CSK,MI,MI,CSK,Chase,IPL
1254085,RR,SRH,RR,SRH,Defend,IPL
1254086,DC,PBKS,DC,PBKS,Chase,IPL
1254087,KKR,RCB,KKR,RCB,Chase,IPL
1254088,MI,SRH,MI,SRH,Defend,IPL
1254089,CSK,RR,RR,CSK,Chase,IPL
