match_id,Type,batting_team,Winner,Loser,Runs Scored,Status,Innings,Defend,Chase,Win Margin
1233971,T20,Australia,,Australia,131,Lose,2,,Chase,Chase
1233972,T20,Australia,,Australia,215,Lose,2,,Chase,Chase
1233973,T20,New Zealand,,New Zealand,144,Lose,2,,Chase,Chase
1233974,T20,New Zealand,,New Zealand,106,Lose,2,,Chase,Chase
1233979,T20,Bangladesh,,Bangladesh,144,Lose,2,,Chase,Chase
1233980,T20,Bangladesh,,Bangladesh,142,Lose,2,,Chase,Chase
1233981,T20,Bangladesh,,Bangladesh,76,Lose,2,,Chase,Chase
1239540,T20,England,,England,201,Lose,2,,Chase,Chase
1239541,T20,Pakistan,,Pakistan,155,Lose,2,,Chase,Chase
1243019,T20,South Africa,,South Africa,166,Lose,2,,Chase,Chase
1243391,T20,England,,England,177,Lose,2,,Chase,Chase
1243392,T20,England,,England,188,Lose,2,,Chase,Chase
1249207,T20,England,,England,108,Lose,2,,Chase,Chase
1249208,T20,Sri Lanka,,Sri Lanka,91,Lose,2,,Chase,Chase
1251953,T20,Ireland,,Ireland,132,Lose,2,,Chase,Chase
1251954,T20,Ireland,,Ireland,117,Lose,2,,Chase,Chase
1251955,T20,Ireland,,Ireland,140,Lose,2,,Chase,Chase
1252058,T20,Zimbabwe,,Zimbabwe,150,Lose,2,,Chase,Chase
1252059,T20,Zimbabwe,,Zimbabwe,148,Lose,2,,Chase,Chase
1252060,T20,Zimbabwe,,Zimbabwe,136,Lose,2,,Chase,Chase
1252067,T20,West Indies,,West Indies,117,Lose,2,,Chase,Chase
1254060,IPL,SRH,,SRH,177,Lose,2,,Chase,Chase
1254061,IPL,RR,,RR,217,Lose,2,,Chase,Chase
1254062,IPL,KKR,,KKR,142,Lose,2,,Chase,Chase
1254063,IPL,SRH,,SRH,143,Lose,2,,Chase,Chase
1254066,IPL,SRH,,SRH,137,Lose,2,,Chase,Chase
1254067,IPL,KKR,,KKR,166,Lose,2,,Chase,Chase
1254069,IPL,RR,,RR,143,Lose,2,,Chase,Chase
1254072,IPL,KKR,,KKR,202,Lose,2,,Chase,Chase
1254076,IPL,RCB,,RCB,122,Lose,2,,Chase,Chase
1254077,IPL,SRH,,SRH,159,Lose,2,,Chase,Chase
1254079,IPL,DC,,DC,170,Lose,2,,Chase,Chase
1254083,IPL,RCB,,RCB,145,Lose,2,,Chase,Chase
1254085,IPL,SRH,,SRH,165,Lose,2,,Chase,Chase
1254088,IPL,SRH,,SRH,193,Lose,2,,Chase,Chase
1254090,IPL,PBKS,,PBKS,158,Lose,2,,Chase,Chase
1254095,IPL,RCB,,RCB,137,Lose,2,,Chase,Chase
1254097,IPL,RR,,RR,121,Lose,2,,Chase,Chase
1254104,IPL,MI,,MI,136,Lose,2,,Chase,Chase
1254106,IPL,RR,,RR,85,Lose,2,,Chase,Chase
1254107,IPL,SRH,,SRH,120,Lose,2,,Chase,Chase
1254108,IPL,MI,,MI,111,Lose,2,,Chase,Chase
1254111,IPL,PBKS,,PBKS,183,Lose,2,,Chase,Chase
1254117,IPL,KKR,,KKR,165,Lose,2,,Chase,Chase
1256721,T20,West Indies,,West Indies,170,Lose,2,,Chase,Chase
1256722,T20,England,,England,204,Lose,2,,Chase,Chase
1256723,T20,West Indies,,West Indies,159,Lose,2,,Chase,Chase
1256724,T20,England,,England,162,Lose,2,,Chase,Chase
1257183,T20,Zimbabwe,,Zimbabwe,138,Lose,2,,Chase,Chase
1257184,T20,Pakistan,,Pakistan,99,Lose,2,,Chase,Chase
1257185,T20,Zimbabwe,,Zimbabwe,141,Lose,2,,Chase,Chase
1257405,T20,Uganda,,Uganda,65,Lose,2,,Chase,Chase
1257406,T20,Uganda,,Uganda,124,Lose,2,,Chase,Chase
1257946,T20,Malaysia,,Malaysia,176,Lose,2,,Chase,Chase
1257949,T20,Malaysia,,Malaysia,91,Lose,2,,Chase,Chase
1257950,T20,Malaysia,,Malaysia,148,Lose,2,,Chase,Chase
1257951,T20,Netherlands,,Netherlands,96,Lose,2,,Chase,Chase
1262758,T20,Sri Lanka,,Sri Lanka,126,Lose,2,,Chase,Chase
1263152,T20,West Indies,,West Indies,150,Lose,2,,Chase,Chase
1263153,T20,West Indies,,West Indies,166,Lose,2,,Chase,Chase
1263154,T20,South Africa,,South Africa,146,Lose,2,,Chase,Chase
1263155,T20,West Indies,,West Indies,143,Lose,2,,Chase,Chase
1263156,T20,Australia,,Australia,127,Lose,2,,Chase,Chase
1263157,T20,Australia,,Australia,140,Lose,2,,Chase,Chase
1263159,T20,West Indies,,West Indies,185,Lose,2,,Chase,Chase
1263160,T20,Australia,,Australia,183,Lose,2,,Chase,Chase
1263165,T20,West Indies,,West Indies,150,Lose,2,,Chase,Chase
1263471,T20,Sri Lanka,,Sri Lanka,122,Lose,2,,Chase,Chase
1263472,T20,Sri Lanka,,Sri Lanka,164,Lose,2,,Chase,Chase
1263710,T20,Czech Republic,,Czech Republic,84,Lose,2,,Chase,Chase
1267308,T20,Serbia,,Serbia,100,Lose,2,,Chase,Chase
1267311,T20,Greece,,Greece,33,Lose,2,,Chase,Chase
1267681,T20,Bangladesh,,Bangladesh,143,Lose,2,,Chase,Chase
1268191,T20,Malta,,Malta,125,Lose,2,,Chase,Chase
1268192,T20,Malta,,Malta,133,Lose,2,,Chase,Chase
1270834,T20,Australia,,Australia,108,Lose,2,,Chase,Chase
1270836,T20,Australia,,Australia,117,Lose,2,,Chase,Chase
1270838,T20,Australia,,Australia,62,Lose,2,,Chase,Chase
1271448,T20,France,,France,116,Lose,2,,Chase,Chase
1271449,T20,France,,France,128,Lose,2,,Chase,Chase
1271450,T20,Germany,,Germany,134,Lose,2,,Chase,Chase
1271451,T20,Germany,,Germany,96,Lose,2,,Chase,Chase
1271630,T20,Sri Lanka,,Sri Lanka,135,Lose,2,,Chase,Chase
1272094,T20,New Zealand,,New Zealand,137,Lose,2,,Chase,Chase
1272095,T20,Bangladesh,,Bangladesh,76,Lose,2,,Chase,Chase
1272097,T20,Bangladesh,,Bangladesh,134,Lose,2,,Chase,Chase
1272373,T20,Ireland,,Ireland,114,Lose,2,,Chase,Chase
1272375,T20,Zimbabwe,,Zimbabwe,138,Lose,2,,Chase,Chase
1272376,T20,Zimbabwe,,Zimbabwe,110,Lose,2,,Chase,Chase
1272377,T20,Ireland,,Ireland,119,Lose,2,,Chase,Chase
1273138,T20,Gibraltar,,Gibraltar,193,Lose,2,,Chase,Chase
1273139,T20,Gibraltar,,Gibraltar,108,Lose,2,,Chase,Chase
1273143,T20,Ghana,,Ghana,79,Lose,2,,Chase,Chase
1273144,T20,Rwanda,,Rwanda,30,Lose,2,,Chase,Chase
1273148,T20,Sweden,,Sweden,113,Lose,2,,Chase,Chase
1273271,T20,Zimbabwe,,Zimbabwe,134,Lose,2,,Chase,Chase
1273272,T20,Scotland,,Scotland,126,Lose,2,,Chase,Chase
1273713,T20,Bangladesh,,Bangladesh,134,Lose,2,,Chase,Chase
1273716,T20,Papua New Guinea,,Papua New Guinea,148,Lose,2,,Chase,Chase
1273717,T20,Oman,,Oman,127,Lose,2,,Chase,Chase
1273719,T20,Ireland,,Ireland,101,Lose,2,,Chase,Chase
1273720,T20,Papua New Guinea,,Papua New Guinea,97,Lose,2,,Chase,Chase
1273728,T20,Scotland,,Scotland,60,Lose,2,,Chase,Chase
1273734,T20,Bangladesh,,Bangladesh,139,Lose,2,,Chase,Chase
1273738,T20,Namibia,,Namibia,98,Lose,2,,Chase,Chase
1273740,T20,Sri Lanka,,Sri Lanka,137,Lose,2,,Chase,Chase
1273742,T20,Namibia,,Namibia,144,Lose,2,,Chase,Chase
1273743,T20,Scotland,,Scotland,156,Lose,2,,Chase,Chase
1273744,T20,Afghanistan,,Afghanistan,144,Lose,2,,Chase,Chase
1273746,T20,West Indies,,West Indies,169,Lose,2,,Chase,Chase
1273747,T20,Namibia,,Namibia,111,Lose,2,,Chase,Chase
1273750,T20,England,,England,179,Lose,2,,Chase,Chase
1273752,T20,Scotland,,Scotland,117,Lose,2,,Chase,Chase
1275040,T20,Nigeria,,Nigeria,96,Lose,2,,Chase,Chase
1275042,T20,Nigeria,,Nigeria,101,Lose,2,,Chase,Chase
1275044,T20,Uganda,,Uganda,129,Lose,2,,Chase,Chase
1275045,T20,Kenya,,Kenya,107,Lose,2,,Chase,Chase
1275047,T20,Nigeria,,Nigeria,117,Lose,2,,Chase,Chase
1275051,T20,Kenya,,Kenya,114,Lose,2,,Chase,Chase
1275268,T20,Czech Republic,,Czech Republic,176,Lose,2,,Chase,Chase
